slug,status,amazonUrl,flipkartUrl
moto-g06-power,dry-run,,https://www.flipkart.com/motorola-g06-power-pantone-tendril-64-gb/p/itm2f1ca967879c9
moto-edge-60-pro,dry-run,,https://www.flipkart.com/motorola-edge-60-pro-pantone-dazzling-blue-256-gb/p/itmbe844b03e063b
moto-edge-70-pro,dry-run,https://www.amazon.in/Motorola-Satin-Luxe-Dimensity-Processor-Smartphone/dp/B0GZGSZ3S9,https://www.flipkart.com/motorola-edge-70-pro-pantone-tea-256-gb/p/itm8e1524c8da543
iphone-17,dry-run,https://www.amazon.in/iPhone-17-256-Promotion-Resistance/dp/B0FQFYXCC4,https://www.flipkart.com/apple-iphone-17-black-256-gb/p/itm6eb39da622cdd
iphone-17-pro,dry-run,https://www.amazon.in/iPhone-Pro-256-Promotion-Breakthrough/dp/B0FQG1LPVF,https://www.flipkart.com/apple-iphone-17-pro-cosmic-orange-256-gb/p/itm76fe37ca9ea8c
iphone-17-pro-max,dry-run,https://www.amazon.in/iPhone-Pro-Max-256-Promotion/dp/B0FQFV2XKS,https://www.flipkart.com/apple-iphone-17-pro-max-cosmic-orange-256-gb/p/itmd38e30731883a
iphone-17-air,dry-run,,https://www.flipkart.com/apple-iphone-17-black-256-gb/p/itm6eb39da622cdd
oneplus-13,dry-run,https://www.amazon.in/OnePlus-13-256GB-Midnight-Ocean/dp/B0DPS7FB4J,https://www.flipkart.com/oneplus-13-black-eclipse-512-gb/p/itmb4659fd2a037f
oneplus-nord-6,dry-run,https://www.amazon.in/OnePlus-Snapdragon-Segments-Complete-Personalized/dp/B0GRB3FBBB,https://www.flipkart.com/oneplus-nord-6-quick-silver-256-gb/p/itmc49f71cdc4080
oneplus-nord-5,dry-run,https://www.amazon.in/OnePlus-Snapdragon-Stable-Flagship-Powered/dp/B0FCMKSP7V,https://www.flipkart.com/oneplus-nord-5-phantom-grey-256-gb/p/itma9ab5953fa9b9
oneplus-nord-ce6,dry-run,https://www.amazon.in/OnePlus-Snapdragon-Segments-Fastest-Response/dp/B0GWLHVJRH,https://www.flipkart.com/oneplus-nord-ce6-pitch-black-128-gb/p/itmd7b224b18cb05
oneplus-nord-ce6-lite,dry-run,https://www.amazon.in/OnePlus-Segments-Dimensity-Processor-Recording/dp/B0GVYDLJJQ,https://www.flipkart.com/oneplus-nord-ce6-lite-vivid-mint-128-gb/p/itm894a5599b758b
oneplus-pad-go-2,dry-run,https://www.amazon.in/dp/B0G4QQNK1K,https://www.flipkart.com/oneplus-pad-go-2-8-gb-ram-128-rom-12-1-inch-wi-fi-only-tablet-shadow-black/p/itmbf04006e3d8e7
oneplus-z3,dry-run,https://www.amazon.in/AirDapp-Silicone-Protective-OnePlus-Earphone/dp/B0B6T5DB2X,https://www.flipkart.com/oneplus-bullets-wireless-z3-bluetooth/p/itm058e6b20450a6
oneplus-z2-anc,dry-run,https://www.amazon.in/dp/B07XWBJ9L1,https://www.flipkart.com/oneplus-buds-z2-active-noise-cancellation-bluetooth-headset/p/itme6a38aecd5d70
oppo-reno-15-pro-mini,dry-run,,https://www.flipkart.com/oppo-reno15-pro-mini-5g-glacier-white-256-gb/p/itmf83af4c98921b
oppo-reno-15,dry-run,,https://www.flipkart.com/oppo-reno15-5g-aurora-blue-256-gb/p/itm37cc91d1c2807
oppo-reno-15c,dry-run,,https://www.flipkart.com/redmi-15c-5g-moonlight-blue-128-gb/p/itmc1345bb45eef3
oppo-k14,dry-run,,https://www.flipkart.com/oppo-k14-5g-prism-violet-128-gb/p/itm2a5cc1d23c2af
oppo-k14x,dry-run,,https://www.flipkart.com/oppo-k14x-5g-prism-violet-128-gb/p/itmdcac5ae642971
oppo-k13,dry-run,,https://www.flipkart.com/oppo-k13-turbo-5g-white-knight-128-gb/p/itm3692362cd3df3
oppo-k13x,dry-run,,https://www.flipkart.com/oppo-k13x-5g-6000mah-45w-supervooc-charger-ai-midnight-violet-128-gb/p/itm62b2e62fbb43e
oppo-f33-pro,dry-run,,https://www.flipkart.com/oppo-f33-pro-5g-misty-forest-256-gb/p/itme0e9af182d309
oppo-f33,dry-run,,https://www.flipkart.com/oppo-f33-5g-forest-green-128-gb/p/itm8c5d4a65602fd
oppo-f31-pro-plus,dry-run,,https://www.flipkart.com/oppo-f31-pro-5g-gemstone-blue-256-gb/p/itm6d64a8ecb31b8
oppo-a6x,dry-run,,https://www.flipkart.com/oppo-a6x-5g-ice-blue-64-gb/p/itmdf1381e11e8a7
realme-16-pro-plus,dry-run,https://www.amazon.in/realme-Smartphone-SuperVOOC-Periscope-Snapdragon/dp/B0GC6XCMRB,https://www.flipkart.com/realme-16-pro-5g/p/itmf8e5c193facd1
realme-16-pro,dry-run,,https://www.flipkart.com/realme-16-pro-5g-master-gold-256-gb/p/itm0f32797c10002?pid=MOBHM8GZWJHDBRFQ&lid=LSTMOBHM8GZWJHDBRFQDIN4E2&marketplace=FLIPKART&q=Realme+16+Pro&store=tyy%2F4io&srno=s_1_1&otracker=search&fm=organic&iid=3c073e81-cbdc-459f-8374-cf8300771a18.MOBHM8GZWJHDBRFQ.SEARCH&ppt=sp&ppn=sp&ssid=k5cedgwuq80000001783251387754&qH=87dcede0db1ded35
realme-16,dry-run,,https://www.flipkart.com/realme-16-5g-air-black-128-gb/p/itm7b0c4cd95742b?pid=MOBHHM6TDJP7TNNS&lid=LSTMOBHHM6TDJP7TNNSDTBW8K&marketplace=FLIPKART&q=Realme+16&store=tyy%2F4io&srno=s_1_1&otracker=search&fm=organic&iid=35224b0c-5ec3-4295-9ef5-c14e335c9d98.MOBHHM6TDJP7TNNS.SEARCH&ppt=sp&ppn=sp&ssid=4unw7sbec00000001783251392076&qH=4c5a9f4c4f7fc733
realme-16t,dry-run,,https://www.flipkart.com/realme-16t-5g-starlight-red-128-gb/p/itm604f2af610fd0?pid=MOBHN4XWZUSTFFNJ&lid=LSTMOBHN4XWZUSTFFNJTCYZVU&marketplace=FLIPKART&q=Realme+16T&store=tyy%2F4io&srno=s_1_1&otracker=search&fm=organic&iid=72cd0fab-a623-43fb-a95b-cfde220623e1.MOBHN4XWZUSTFFNJ.SEARCH&ppt=sp&ppn=sp&ssid=adm3jtfzkw0000001783251396029&qH=340442dd39bb4a6c
realme-15t,dry-run,,https://www.flipkart.com/realme-15t-5g-flowing-silver-128-gb/p/itm3f28d98da183c
realme-15x,dry-run,,https://www.flipkart.com/realme-15x-5g-aqua-blue-128-gb/p/itmcf22f2a57724f
realme-15,dry-run,,https://www.flipkart.com/realme-15-5g-flowing-silver-128-gb/p/itme9581fbd0e97a
realme-c83,dry-run,,https://www.flipkart.com/valight-edge-tempered-glass-realme-c83-5g-5g/p/itm9405ab466427e?pid=ACCHHC7QGW9GHDCD&lid=LSTACCHHC7QGW9GHDCDGQ2AJF&marketplace=FLIPKART&q=Realme+C83&store=tyy%2F4io&srno=s_1_1&otracker=search&fm=organic&iid=en_bX-8yuEXwDzdWLjtUtN35QsP-nhkV7aVW51IpS3WHb8VoBpRyKnGuvUGDZsLknTQ36q8kiv34BuWpRKgKdFx8pycXQUxl3QApnyekBcIxPurOLxreY-Ty-4F4Vy_QfzU&ppt=sp&ppn=sp&ssid=qencfjptio0000001783251412374&qH=44041ecb98d9eae1
realme-c71,dry-run,,https://www.flipkart.com/realme-c71-dune-gold-64-gb/p/itm81ab68c80d75d
realme-p4x,dry-run,,https://www.flipkart.com/realme-p4x-5g-lake-green-128-gb/p/itm575b1540859e4
realme-p4,dry-run,,https://www.flipkart.com/realme-p4-5g-engine-blue-128-gb/p/itmf836e6de035a5?pid=MOBHHWGMRNXJG9GJ&lid=LSTMOBHHWGMRNXJG9GJL7AJML&marketplace=FLIPKART&q=Realme+P4&store=tyy%2F4io&srno=s_1_1&otracker=search&fm=organic&iid=43f4576d-34ca-4dc9-99cf-8b1850b30f0c.MOBHHWGMRNXJG9GJ.SEARCH&ppt=sp&ppn=sp&ssid=udnvubrpn40000001783251425126&qH=9bb473b42328e328
realme-p4-lite,dry-run,,https://www.flipkart.com/realme-p4-lite-5g-mosaic-blue-64-gb/p/itm90c243961f214
realme-p4-power,dry-run,,https://www.flipkart.com/realme-p4-power-5g-transsilver-128-gb/p/itm49784b322aad0
realme-p3x,dry-run,,https://www.flipkart.com/realme-p3-5g-space-silver-128-gb/p/itm69060f73d27e8?pid=MOBHAYN5ZXFQ3GFG&lid=LSTMOBHAYN5ZXFQ3GFGFUCV7J&marketplace=FLIPKART&q=Realme+P3x&store=tyy%2F4io&srno=s_1_1&otracker=search&fm=organic&iid=9a4f7bf8-1378-466c-b7c2-34d1333de848.MOBHAYN5ZXFQ3GFG.SEARCH&ppt=sp&ppn=sp&ssid=zju0qy2ceo0000001783251436615&qH=55f887bfed53a6e7
realme-pad-2-lite,dry-run,,https://www.flipkart.com/realme-pad-2-lite-4-gb-ram-128-rom-10-95-inch-4g-mediatek-helio-g99-chipset-tablet-space-grey/p/itm963316f78a59e?pid=TABH4E3HF4V5HGJR&lid=LSTTABH4E3HF4V5HGJRYPLFBG&marketplace=FLIPKART&q=Realme+Pad+2+Lite&store=tyy%2Fhry&srno=s_1_1&otracker=search&fm=organic&iid=8bfde184-a8f7-48ad-acb3-2b961fdc316d.TABH4E3HF4V5HGJR.SEARCH&ppt=sp&ppn=sp&ssid=ypmaesn09s0000001783251440916&qH=95a123c38f0fcb37
